Person,Title,Organizations,Forbes Number,Tags,Race,AAPI Subcategory,Gender,Photo,Last Checked
Steuart Walton,"Board Member, Walmart",Walmart,1,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8_vBWRQNRAa22PIWVof4Wg/Steuart-Walton.jpg,
Arthur D. Levinson,"Board Chair, Apple",Apple,3,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bTqtatSvulV2WN9GGG44AM/arthur_d_levinson.jpg,2023-02-08
James A. Bell,"Board Member, Apple",Apple,3,Board Member,Black,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bUdVZUNQNHJ9UJVU2YZkWi/james_a_bell.jpg,2023-02-08
Tim Cook,"CEO, Apple",Apple,3,"Board Member, CEO",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/apd8Zzdl1eoaDH1cmCQ4_q/tim_cook.jpg,2023-02-08
Albert Gore Jr.,"Board Member, Apple",Apple,3,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9N7osqRs-VI7Gc9QgkpOJl/al_gore.jpg,2023-02-08
Andrea Jung,"Board Member, Apple",Apple,3,Board Member,Asian,East Asian,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bUMojjB5qZOas-vcpGV_3c/andrea_jung.jpg,2023-02-08
Monica Lozano,"Board Member, Apple",Apple,3,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8R5Scu3gC_N48u38X3X4TN/Monica-Lozano.jpg,2023-02-08
Ronald D. Sugar,"Board Member, Apple",Apple,3,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bPRzRthSvSzaB_EDxhK4Vs/ronald-sugar.png,2023-02-08
Susan L. Wagner,"Board Member, Apple",Apple,3,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/9HOWQmxsWlz1wPtqqRW4bS/susan_wagner.jpg,2023-02-08
Fernando Aguirre,"Board Member, CVS Health",CVS Health,4,Board Member,Latino,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/bhBXWRYNjzPcNj3w6UP_F4/Fernando%20Aguirre.jpeg,2023-02-08
C. David Brown II,"Board Member, CVS Health",CVS Health,4,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/8YKQTqLOnSXeHaSCuYr_Gw/8yDBF9u5o2S7G8bAkCz_Pv/C%20David%20Brown%20II.jpg,2023-02-08
